Name,Market Cap (Millions),Shares Outstanding (Millions),Float Shares,Regular Market Price,Regular Market Change,Regular Market Change (%),Enterprise to Revenue,Enterprise to EBITDA,Book Value,Beta,P/E Ratio,P/B Ratio,Payout Ratio,Total Revenue,Gross Profits,EBITDA,Operating Margins,Profit Margins,Price to Sales (TTM),Forward EPS,Trailing EPS,Operating Cash Flow,Free Cash Flow,Total Cash,Total Debt,Total Cash Per Share,Debt to Equity Ratio,Quick Ratio,Current Ratio,50 Day Average,200 Day Average,52 Week Change,52 Week High,52 Week Low,Revenue Growth,ICB Industry,Valuation Label
audioboom group plc,2.1730085200716908e-05,0.00022918020264271546,0.00020383498662465376,0.018579566839684324,0.38831060380724,0.372882232475602,0.1310820728304438,0.8962613028879648,1.740492619096998e-05,0.26530305309069036,0.3120513234771886,0.6017130744739606,0.0,2.926964667266348e-07,2.015373270071908e-06,9.428931695772748e-06,0.9230667384978519,0.1104994270195845,0.13229334994513747,0.2422239443254167,0.01460242286969354,0.00037997531084763394,0.0018178014565643945,3.424645056803477e-08,5.390533275265193e-08,6.058051914050525e-06,0.005048021979750311,0.0010921573262790596,0.0012269439895255137,0.02629759546439151,0.021972994566288314,0.0059139777729854725,0.0355824548220354,0.01977044905636181,0.0030087283668103148,Consumer Discretionary,-2
chenavari toro income fund limited,,,,0.0025418293935783984,0.42025569799912493,0.4189943890406047,,,,,,,,,,,0.9230634188061807,0.11000015679957365,,,,,,,,,,,,2.2640017408647322e-05,2.570875698246667e-05,0.003632238153617268,2.2344345729299564e-05,0.0,,Financials,1
transense technologies plc,7.2931743517428984e-06,0.0002121766810750788,0.00021044025514537737,0.0064464419417316395,0.4273546078195438,0.45041896947563326,0.1311922741205367,0.8864381420060459,1.8433991594456574e-05,0.19348774251767184,0.048110204149982835,0.5237016872919564,0.0,6.485790446297818e-08,1.92705114946574e-06,9.433895207152915e-06,0.9230759500362368,0.12192043364349715,0.13240368902287966,0.25831547917521386,0.014688218538728167,0.00037998884317379564,0.0018175348115459034,1.0562850239071119e-08,1.8468525712760787e-08,2.0107576565784723e-06,0.0011728470586601233,0.007913594417054342,0.009349163442417603,0.006811165244917574,0.01014914948361641,0.004872688525538561,0.010197812870552455,0.009724923589886079,0.0034669103516037636,Industrials,0
baillie gifford japan ord,0.00022101616310226538,0.0011098418930308694,,0.03893468417064465,0.42469396102840484,0.4221760498766919,,,7.442887041617395e-05,,0.15385764837744217,0.5080932756442262,,,,,,,,,,,,,,,,,,0.04088955966175438,0.04853774216614935,,0.04429674965646223,0.06662609271806272,,Unknown,-1
tan delta systems plc,5.282972800800425e-06,0.0010207940170241167,0.00020307993170987104,0.0010219130996663986,0.42025569799912493,0.4189943890406047,0.13141431625232852,0.882223014971857,1.6053420294390915e-05,,,0.5253521087999063,0.0,5.263453676727708e-08,1.8956302226273914e-06,9.389131887673305e-06,0.923010510482598,0.06409560613937805,0.13268295982564882,,0.014499468066851987,0.0003799443728819705,,3.211599176782815e-08,4.449000591869545e-09,1.2631682714403223e-06,0.00039482991368687185,0.015246345123854492,0.01742431616859729,0.0008830889066763799,0.0013474785401874567,0.005355713248168833,0.0016211424606409847,1.2824075063586038e-05,0.0017461824531572554,Industrials,-1
lendinvest plc,1.4232830877366489e-05,0.0019560811062075707,0.0007004450473222287,0.0014275735174208426,0.4208236102405087,0.4301675627762873,0.1321242811346946,,1.8379108106270624e-05,0.20860279741314486,,0.5067590518001195,0.0,1.182562172467551e-07,2.0120926841737988e-06,,0.9230581652095177,0.09187369421087521,0.13232823850388983,0.24391059245414898,0.014413672397817361,0.0003778395180540838,,6.355862007496898e-07,3.14430530202129e-05,1.306992476776007e-05,0.2201151236606064,0.16684548380644104,0.16684191891044806,0.0015076703607741317,0.0017744680585814307,0.0037072254486523277,0.0016211424606409847,0.0023777972513732448,0.002889091959669803,Financials,-1
cordel group plc,4.405336220431929e-06,0.003024067430552288,0.0016160291563280986,0.0002881604060537092,0.42025569799912493,0.4189943890406047,0.13114250201820993,0.8797868464868701,1.5744700673344933e-05,0.27515415852007824,,0.5283697279640227,0.0,6.459676923088582e-08,1.8902501404885535e-06,9.405156732530002e-06,0.9230518976231236,0.10297886968626703,0.13235117177488165,0.24207199404354893,0.014533786334465839,0.00037996126986762944,0.0018174596442277662,1.0150562076672799e-08,1.528955959217493e-08,1.288947215755431e-07,0.0018511865016782821,0.002105157314512428,0.0024827698340790915,0.0003858979659247731,0.0004262343723620965,0.004615420118427116,0.00043066502424387676,0.0004274691687862013,0.0029552738019177458,Technology,-1
stv group plc,2.782648430039483e-05,0.0006369594180422268,0.0007834921658730332,0.008503570029181501,0.4184809705440202,0.4132107239221517,0.13107633439982258,0.8850944077344626,1.535365582002003e-05,0.1767935027823733,0.024827102455020233,0.22203851937085445,0.008048333666666666,6.736438723052092e-07,2.313031763893706e-06,9.665359388661168e-06,0.9230685557936782,0.11229113734514908,0.13227994876523466,0.2939022351886462,0.014928446412025124,0.0003800926229666371,0.0018184899106889133,9.85330448642697e-08,3.476428369460854e-06,6.264283468571394e-06,,0.0009926758068432588,0.0015852929315403764,0.009388113172494284,0.014505001564921615,0.002618463458979344,0.015540570947745629,0.014961420907517045,0.002667637333686303,Consumer Discretionary,2
keller group plc,0.0003699077668959985,0.000990012861312596,0.0012171155727873446,0.07237936255350046,0.4510176405542734,0.43093940502484324,0.13106598960992724,0.8845156847406491,7.267945923024674e-05,0.2779365318092947,0.025183069918051495,0.5138445137482378,0.004130000166666667,9.975639371913229e-06,5.5052605484807455e-06,1.3164095399572007e-05,0.9230665649927333,0.11189993596739285,0.13227774466921788,0.5286502256461685,0.017845499159202447,0.0003836154107083314,0.0018384023186236035,1.843733878700197e-06,1.7309716256273835e-05,7.496517006833586e-05,0.01144863769381747,0.0013200020965997645,0.0015029261597936765,0.07524445891126051,0.09862566773903218,0.004722085274261845,0.08916702162953599,0.11349306431273645,0.002540364560132567,Industrials,0
ondine biomedical inc.,1.5304205124678356e-05,0.006178996260523193,0.0031122200714085073,0.0004857495242622691,0.42030302514836126,0.4217122528599731,0.13164354118163263,0.8831681679658383,1.5641794132996275e-05,0.20145886599488647,,,0.0,5.42221145396565e-08,1.8981994900205e-06,9.220046095923187e-06,0.9225499312480782,0.11000015679957365,0.13311449992848287,,0.014482308933045062,0.0003798013903237458,0.0018167721776514863,1.081140376576189e-08,1.815813032263035e-08,1.0311577726043447e-07,0.37733382164513546,0.00038722914016946084,0.0008546889691638061,0.0005592918331046702,0.0005807310657037018,0.006351674590839616,0.0006949248507847732,0.0005343364609827516,0.0051087291304469555,Health Care,0
dsw capital plc,4.642618997149786e-06,0.0003503461514047998,0.00022795017243139903,0.0026204457536083293,0.42025569799912493,0.4189943890406047,0.13119922269639092,0.8931523216413795,1.8056667613178158e-05,0.20394044217175517,0.1760460727018444,0.5121020283743848,0.027778333333333335,5.640577515828848e-08,1.909659670091229e-06,9.417372648890132e-06,0.9230605193574354,0.11440386405193037,0.13245152112312086,,0.014550945468272763,0.00037997442056301805,0.0018175536806879222,2.0691406451720117e-08,1.5209374116391235e-08,2.8099049303468395e-06,0.000790885372889585,0.008654892190914663,0.009393021074126885,0.0030358277467458796,0.003969676763305603,0.0037759123804839193,0.004028261672696675,6.305170239596469e-05,0.0024996372725953715,Financials,-2
