Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
08/10/2021,W.A.G PAYMENT SOLUTIONS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,523.07
22/08/1996,WALKER CRIPS GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,5.32
20/09/2017,WAREHOUSE REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,341.59
30/11/2016,WARPAINT LONDON PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,411.49
30/05/2019,WATCHES OF SWITZERLAND GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,377.53"
30/07/2010,WATER INTELLIGENCE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,69.49
23/03/2016,WATKIN JONES PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,83.16
25/01/1946,WEIR GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"6,298.19"
14/05/2013,WEISS KOREA OPPORTUNITY FUND LTD.,Financials,Financial Services ,Guernsey,Europe,AIM ,No,96.28
21/06/2007,WESTMINSTER GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,5.8
02/10/1995,WESTMOUNT ENERGY LIMITED,Energy,Energy,Jersey,Europe,AIM ,No,1.08
30/10/1992,WETHERSPOON ( J.D.) PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,761.14
28/10/2020,WHEATON PRECIOUS METALS CORP.,Basic Materials,Basic Resources,Canada,North America,MAIN MARKET ,Yes,"23,228.28"
27/07/2000,W.H. IRELAND GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,6.49
09/07/1948,WHITBREAD PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"4,962.74"
01/09/2006,WH SMITH PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,"1,692.94"
28/04/2021,WICKES GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,445.89
30/12/2020,WILDCAT PETROLEUM PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,3.81
06/12/1995,WILMINGTON PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,349.19
30/03/2015,WINDAR PHOTONICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,52.34
06/12/2021,WINDWARD LTD,Technology,Technology,Israel,Middle East,AIM ,Yes,182.63
14/11/2024,WINKING STUDIOS LIMITED,Industrials,Industrial Goods and Services,Cayman Islands,North America,AIM ,Yes,88.07
13/11/2013,"WISDOM MARINE LINES CO., LIMITED",Industrials,Industrial Goods and Services,Cayman Islands,North America,MAIN MARKET ,Yes,-
07/07/2021,WISE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"11,418.50"
16/07/2012,WISHBONE GOLD PLC,Basic Materials,Basic Resources,Gibraltar,Europe,AIM ,Yes,1
02/03/2015,WIZZ AIR HOLDINGS PLC,Consumer Discretionary,Travel and Leisure,Jersey,Europe,MAIN MARKET ,No,"1,329.62"
17/09/2010,WOODBOIS LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,AIM ,No,5.05
05/06/2002,WOOD GROUP (JOHN) PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,501.24
15/12/1993,WORKSPACE GROUP PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,902.11
06/04/2023,WORLD CHESS PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,31.16
24/11/2011,WORLDLINK GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,3.36
27/03/1997,WORLDSEC LD,Financials,Financial Services ,Bermuda,North America,MAIN MARKET ,Yes,1.7
28/04/1995,WORLDWIDE HEALTHCARE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,726.90"
23/05/2005,WORSLEY INVESTORS LIMITED,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,9.45
11/01/1954,WORTHINGTON GROUP PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,21.76
19/11/2008,WPP PLC,Consumer Discretionary,Media,Jersey,Europe,MAIN MARKET ,No,"8,343.46"
24/05/2004,WYNNSTAY GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,68.23
21/09/1995,WYNNSTAY PROPERTIES PLC,Real Estate,Real Estate ,United Kingdom,Europe,AIM ,No,19.15
17/10/1997,XAAR PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,64.38
25/03/2014,XEROS TECHNOLOGY GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,2.73
21/03/2014,XLMEDIA PLC,Consumer Discretionary,Media,Jersey,Europe,AIM ,No,27.97
08/07/2016,XP FACTORY PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,20.51
25/04/2007,XP POWER LIMITED,Industrials,Industrial Goods and Services,Singapore,Asia,MAIN MARKET ,Yes,294.13
16/02/2017,XPS PENSIONS GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,725.08
20/02/2006,XTRACT RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,4.28
05/07/2018,YELLOW CAKE PLC,Basic Materials,Basic Resources,Jersey,Europe,AIM ,No,"1,067.37"
25/04/2005,YOUGOV PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,450.89
05/07/2005,YOUNG & CO'S BREWERY PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,435.81
17/03/2016,YU GROUP PLC,Utilities,Utilities,United Kingdom,Europe,AIM ,No,272
23/06/2011,ZAMBEEF PRODUCTS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Zambia,Africa,AIM ,Yes,11.72
18/11/2010,ZANAGA IRON ORE COMPANY LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,55.42
29/06/1970,ZCCM INVESTMENTS HOLDINGS PLC,Basic Materials,Basic Resources,Zambia,Africa,MAIN MARKET ,Yes,64.66
19/03/2015,ZEGONA COMMUNICATIONS PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,"3,568.29"
21/03/2013,ZENITH BANK PLC,Financials,Banks,Nigeria,Africa,MAIN MARKET ,Yes,-
11/01/2017,ZENITH ENERGY LTD.,Energy,Energy,Canada,North America,MAIN MARKET ,Yes,24.79
22/07/2021,ZENOVA GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,0.74
02/06/2004,ZEPHYR ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,56.02
06/07/2023,"ZHEJIANG YONGTAI TECHNOLOGY CO., LTD.",Basic Materials,Chemicals,China,Asia,MAIN MARKET ,Yes,-
10/01/1955,ZIGUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,694.8
30/07/2001,ZINC MEDIA GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,15.09
21/12/2017,ZINNWALD LITHIUM PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,36.3
14/05/2001,ZOO DIGITAL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,28.02
28/02/1995,ZOTEFOAMS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,149.47
06/07/2000,ZYTRONIC PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,5.23
